Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 20 Enplanements,CY 19 Enplanements,percent_change,
192,SW,TX,BRO,Brownsville,Brownsville/South Padre Island International,P,N,"93,145","129,407",-28.02%,
193,GL,IL,BMI,Bloomington-Normal Airport,Central Il Regional/Bloomington-Normal,P,N,"89,759","209,156",-57.09%,
194,EA,WV,CRW,Charleston,Yeager,P,N,"89,512","226,834",-60.54%,
195,NM,CO,HDN,Hayden,Yampa Valley,P,N,"87,902","106,007",-17.08%,
196,SO,NC,JQF,Concord,Concord-Padgett Regional,P,N,"86,856","179,987",-51.74%,
197,WP,CA,MRY,Monterey,Monterey Regional,P,N,"86,795","233,967",-62.90%,
198,SO,AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,"85,498","194,990",-56.15%,
199,GL,ND,MOT,Minot,Minot International,P,N,"85,147","164,103",-48.11%,
200,WP,CA,BFL,Bakersfield,Meadows Field,P,N,"83,933","129,669",-35.27%,
201,NM,UT,SGU,St. George,St George Regional,P,N,"80,562","102,297",-21.25%,
202,GL,IL,RFD,Rockford,Chicago/Rockford International,P,N,"79,674","116,767",-31.77%,
203,NM,MT,GTF,Great Falls,Great Falls International,P,N,"79,153","175,613",-54.93%,
204,NM,UT,PVU,Provo,Provo Municipal,P,N,"77,217","110,279",-29.98%,
205,SO,PR,BQN,Aguadilla,Rafael Hernandez,P,N,"75,321","369,924",-79.64%,
206,EA,PA,UNV,State College,University Park,P,N,"74,731","193,534",-61.39%,
207,SO,SC,HXD,Hilton Head Island,Hilton Head,P,N,"73,615","110,608",-33.45%,
208,EA,VA,PHF,Newport News,Newport News/Williamsburg International,P,N,"70,384","211,487",-66.72%,
209,AL,AK,SCC,Deadhorse,Deadhorse,P,N,"67,676","71,822",-5.77%,
210,GL,MI,LAN,Clinton (Township of),Capital Region International,P,N,"67,197","166,976",-59.76%,
211,GL,MN,RST,Rochester,Rochester International,P,N,"66,100","183,187",-63.92%,
212,GL,OH,TOL,Toledo,Eugene F Kranz Toledo Express,P,N,"66,057","124,211",-46.82%,
213,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,"65,793","137,090",-52.01%,
214,GL,MN,DLH,Duluth,Duluth International,P,N,"64,979","155,531",-58.22%,
215,AL,AK,BET,Bethel,Bethel,P,N,"64,648","160,874",-59.81%,
216,EA,PA,LBE,Latrobe,Arnold Palmer Regional,P,N,"62,470","158,253",-60.53%,
217,WP,AZ,FLG,- Flagstaff,Flagstaff Pulliam,P,N,"61,158","119,864",-48.98%,
218,EA,WV,HTS,Huntington,Tri-State/Milton J Ferguson Field,P,N,"58,582","108,515",-46.01%,
220,WP,AZ,NYL,Yuma,Yuma MCAS/Yuma International,P,N,"57,930","100,480",-42.35%,
221,GL,WI,CWA,Mosinee,Central Wisconsin,P,N,"57,163","141,123",-59.49%,
222,SW,LA,MLU,Monroe,Monroe Regional,P,N,"56,068","115,593",-51.50%,
223,CE,NE,LNK,Lincoln,Lincoln,P,N,"52,653","166,711",-68.42%,
224,SW,TX,LRD,Laredo,Laredo International,P,N,"52,612","91,043",-42.21%,
225,GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,"52,559","151,254",-65.25%,
226,WP,NV,BVU,Boulder City,Boulder City Municipal,P,N,"52,530","161,852",-67.54%,
227,SO,NC,EWN,New Bern,Coastal Carolina Regional,P,N,"52,510","114,123",-53.99%,
228,EA,NY,ELM,Elmira,Elmira/Corning Regional,P,N,"51,345","156,440",-67.18%,
229,CE,MO,COU,Columbia,Columbia Regional,P,N,"51,191","129,643",-60.51%,
230,EA,NY,SWF,Newburgh,New York Stewart International,P,N,"50,030","268,083",-81.34%,
231,SW,NM,SAF,Santa Fe,Santa Fe Municipal,P,N,"49,856","142,774",-65.08%,
232,NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,"48,058","134,830",-64.36%,
233,EA,VA,LYH,Timberlake,Lynchburg Regional/Preston Glenn Field,P,N,"47,760","93,206",-48.76%,
234,GL,MI,MBS,Saginaw,MBS International,P,N,"47,393","134,409",-64.74%,
235,GL,ND,GFK,Grand Forks,Grand Forks International,P,N,"46,745","117,482",-60.21%,
236,NM,ID,SUN,Hailey,Friedman Memorial,P,N,"46,468","89,317",-47.97%,
237,NM,MT,HLN,Helena,Helena Regional,P,N,"46,298","118,518",-60.94%,
238,NM,WY,CPR,Casper,Casper/Natrona County International,P,N,"44,923","97,359",-53.86%,
239,WP,CA,SCK,Stockton,Stockton Metro,P,N,"44,386","101,156",-56.12%,
240,SW,TX,ABI,Abilene,Abilene Regional,P,N,"44,202","81,813",-45.97%,
241,GL,WI,LSE,La Crosse,La Crosse Regional,P,N,"44,050","97,069",-54.62%,
242,EA,NY,PBG,Plattsburgh,Plattsburgh International,P,N,"43,325","125,499",-65.48%,
243,EA,PA,ERI,Erie,Erie International/Tom Ridge Field,P,N,"42,790","106,720",-59.90%,
244,EA,NY,IAG,Niagara Falls,Niagara Falls International,P,N,"41,959","122,065",-65.63%,
245,SW,TX,CLL,College Station,Easterwood Field,P,N,"41,790","83,832",-50.15%,
246,NE,NH,PSM,Portsmouth,Portsmouth International at Pease,P,N,"41,737","116,903",-64.30%,
247,AL,AK,ADQ,Kodiak,Kodiak,P,N,"40,218","85,655",-53.05%,
249,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,"38,343","90,839",-57.79%,
250,WP,CA,ACV,Arcata,California Redwood Coast-Humboldt County,P,N,"37,979","86,147",-55.91%,
251,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,"36,864","91,960",-59.91%,
252,CE,NE,GRI,Grand Island,Central Nebraska Regional,P,N,"36,858","70,509",-47.73%,
253,CE,KS,MHK,Manhattan,Manhattan Regional,P,N,"36,577","81,307",-55.01%,
255,GL,IL,CMI,Savoy,University of Illinois-Willard,P,N,"35,874","105,559",-66.02%,
256,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,"35,595","66,390",-46.38%,
257,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,"34,486","75,407",-54.27%,
258,EA,MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,P,N,"34,247","70,111",-51.15%,
259,EA,NY,ITH,Ithaca,Ithaca Tompkins International,P,N,"33,093","109,252",-69.71%,
260,AL,AK,ENA,Kenai,Kenai Municipal,P,N,"33,053","95,239",-65.29%,
261,NM,WA,PUW,Pullman,Pullman/Moscow Regional,P,N,"32,300","70,560",-54.22%,
262,SW,LA,LCH,Lake Charles,Lake Charles Regional,P,N,"32,088","62,057",-48.29%,
263,GL,ND,XWA,Williston,Williston Basin International,P,N,"31,412","89,040",-64.72%,
264,NM,WA,YKM,Yakima,Yakima Air Trml/McAllister Field,P,N,"31,050","69,397",-55.26%,
265,WP,HI,MKK,Kaunakakai,Molokai,P,N,"30,740","51,251",-40.02%,
266,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,"30,633","67,876",-54.87%,
267,AL,AK,OME,Nome,Nome,P,N,"30,274","65,087",-53.49%,
268,SO,GA,CSG,Columbus,Columbus,P,N,"29,686","52,351",-43.29%,
269,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,"29,133","59,807",-51.29%,
270,NM,CO,GUC,Gunnison,Gunnison-Crested Butte Regional,P,N,"28,862","36,183",-20.23%,
271,SW,TX,ACT,Waco,Waco Regional,P,N,"27,704","62,907",-55.96%,
272,NM,WA,EAT,East Wenatchee,Pangborn Memorial,P,N,"27,009","64,619",-58.20%,
273,GL,MI,SAW,Gwinn,Sawyer International,P,N,"26,843","59,056",-54.55%,
274,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,"25,090","52,410",-52.13%,
275,CE,MO,JLN,Joplin,Joplin Regional,P,N,"24,944","48,005",-48.04%,
276,SW,NM,ROW,Roswell,Roswell Air Center,P,N,"24,054","60,217",-60.05%,
277,SO,AL,DHN,Dothan,Dothan Regional,P,N,"23,968","58,860",-59.28%,
278,NM,ID,TWF,Twin Falls,Joslin Field - Magic Valley Regional,P,N,"23,528","51,406",-54.23%,
279,SO,PR,VQS,Vieques,Antonio Rivera Rodriguez,P,N,"23,490","37,005",-36.52%,
280,AL,AK,MRI,Anchorage,Merrill Field,P,N,"23,025","26,505",-13.13%,
281,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,"22,238","46,289",-51.96%,
282,SO,MS,GTR,Columbus,Golden Triangle Regional,P,N,"21,918","51,682",-57.59%,
283,SO,GA,VLD,Valdosta,Valdosta Regional,P,N,"21,808","44,180",-50.64%,
284,SW,TX,SPS,Wichita Falls,Sheppard AFB/Wichita Falls Municipal,P,N,"21,272","40,418",-47.37%,
285,NM,WY,COD,Cody,Yellowstone Regional,P,N,"20,624","41,221",-49.97%,
286,NE,MA,ORH,Worcester,Worcester Regional,P,N,"20,464","97,090",-78.92%,
287,NM,ID,PIH,Arbon Valley,Pocatello Regional,P,N,"19,395","43,626",-55.54%,
288,WP,CA,RDD,Redding,Redding Municipal,P,N,"19,270","51,639",-62.68%,
289,SO,GA,BQK,Brunswick,Brunswick Golden Isles,P,N,"19,123","40,730",-53.05%,
291,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,"18,692","54,285",-65.57%,
292,SO,PR,PSE,Ponce,Mercedita,P,N,"18,643","102,913",-81.88%,
293,NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,"18,580","49,220",-62.25%,
294,EA,WV,CKB,Clarksburg,North Central West Virginia,P,N,"18,468","41,802",-55.82%,
295,NE,MA,MVY,Vineyard Haven,Martha's Vineyard,P,N,"18,462","52,792",-65.03%,
297,SO,PR,RVR,Ceiba,Jose Aponte De La Torre,P,N,"17,365","24,156",-28.11%,
298,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,"17,340","37,492",-53.75%,
299,AL,AK,AKN,King Salmon,King Salmon,P,N,"17,254","44,244",-61.00%,
300,SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,"17,222","41,268",-58.27%,
301,WP,HI,LNY,Lanai City,Lanai,P,N,"17,128","48,556",-64.73%,
302,CE,IA,SUX,Sioux City,Sioux Gateway/Brig General Bud Day Field,P,N,"17,078","47,116",-63.75%,
303,WP,MP,TNI,Tinian (Municipality),Tinian International,P,N,"17,076","41,254",-58.61%,
304,GL,MN,BJI,Bemidji,Bemidji Regional,P,N,"16,783","30,886",-45.66%,
305,CE,KS,GCK,Garden City,Garden City Regional,P,N,"16,421","25,073",-34.51%,
306,GL,MI,PLN,Pellston,Pellston Regional/Emmet County,P,N,"15,814","29,050",-45.56%,
307,SW,TX,BPT,Beaumont,Jack Brooks Regional,P,N,"15,792","29,068",-45.67%,
308,GL,MN,STC,St. Cloud,St. Cloud Regional,P,N,"15,676","21,767",-27.98%,
309,NM,ID,LWS,Lewiston,Lewiston-Nez Perce County,P,N,"15,630","40,405",-61.32%,
310,GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,"14,854","29,564",-49.76%,
311,NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,"14,761","30,568",-51.71%,
312,SW,TX,GGG,Longview,East Texas Regional,P,N,"14,632","27,160",-46.13%,
313,NM,WY,GCC,Gillette,Northeast Wyoming Regional,P,N,"14,473","29,497",-50.93%,
314,EA,MD,HGR,Hagerstown,Hagerstown Regional-Richard A Henson Field,P,N,"14,373","29,105",-50.62%,
315,AL,AK,DLG,Dillingham,Dillingham,P,N,"13,900","35,486",-60.83%,
317,GL,WI,RHI,Rhinelander,Rhinelander-Oneida County,P,N,"13,654","27,203",-49.81%,
318,SO,SC,FLO,Florence,Florence Regional,P,N,"13,373","42,876",-68.81%,
319,SO,PR,CPX,Culebra,Benjamin Rivera Noriega,P,N,"13,268","22,011",-39.72%,
320,WP,AZ,PRC,Prescott,Prescott Regional - Ernest A Love Field,P,N,"13,029","27,771",-53.08%,
321,NE,RI,WST,Westerly,Westerly State,P,N,"12,728","18,293",-30.42%,
322,WP,AS,PPG,Pago Pago,Pago Pago International,P,N,"12,563","59,246",-78.80%,
323,NM,MT,BTM,Butte,Bert Mooney,P,N,"12,460","25,946",-51.98%,
324,NE,RI,BID,Block Island,Block Island State,P,N,"12,399","16,907",-26.66%,
325,SW,OK,SWO,Stillwater,Stillwater Regional,P,N,"12,313","29,661",-58.49%,
326,GL,MN,BRD,Brainerd,Brainerd Lakes Regional,P,N,"12,103","22,551",-46.33%,
327,CE,NE,EAR,Kearney,Kearney Regional,P,N,"11,816","21,305",-44.54%,
328,GL,MI,CMX,Hancock,Houghton County Memorial,P,N,"11,774","24,954",-52.82%,
329,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,"11,726","23,479",-50.06%,
330,EA,NY,ART,Watertown,Watertown International,P,N,"11,671","22,512",-48.16%,
331,CE,IA,DBQ,Dubuque,Dubuque Regional,P,N,"11,503","38,036",-69.76%,
332,NE,CT,HVN,New Haven,Tweed-New Haven,P,N,"11,432","48,860",-76.60%,
333,GL,ND,DIK,Dickinson,Dickinson - Theodore Roosevelt Regional,P,N,"11,407","23,835",-52.14%,
336,AL,AK,LHD,Anchorage,Lake Hood,P,N,"10,763","18,159",-40.73%,
337,WP,CA,SMX,Santa Maria,Santa Maria Public/Capt G Allan Hancock Field,P,N,"10,745","24,266",-55.72%,
338,GL,MI,CIU,Sault Ste. Marie,Chippewa County International,P,N,"10,719","24,390",-56.05%,
339,CE,KS,SLN,Salina,Salina Regional,P,N,"10,561","16,026",-34.10%,
340,GL,MI,IMT,Iron Mountain,Ford,P,N,"10,464","22,221",-52.91%,
341,WP,NV,EKO,Elko,Elko Regional,P,N,"10,351","19,979",-48.19%,
342,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,"10,264","19,388",-47.06%,
343,NM,WY,SHR,Sheridan,Sheridan County,P,N,"10,166","10,942",-7.09%,
344,GL,WI,EAU,Eau Claire,Chippewa Valley Regional,P,N,"10,118","24,268",-58.31%,
345,AL,AK,AKW,Klawock,Klawock,P,N,"10,077","12,980",-22.37%,
346,AL,AK,DUT,Unalaska,Unalaska,P,N,"10,072","27,232",-63.01%,
368,WP,CA,MMH,Mammoth Lakes,Mammoth Yosemite,P,N,"8,314","17,248",-51.80%, 
347,SO,MS,TUP,Tupelo,Tupelo Regional,CS,-,"9,981","15,271",-34.64%,
348,NM,WY,RKS,Rock Springs,Southwest Wyoming Regional,CS,-,"9,930","24,056",-58.72%,
