Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 20 Enplanements,CY 19 Enplanements,percent_change,
425,AL,AK,UNK,Unalakleet,Unalakleet,CS,-,"4,359","15,911",-72.60%,
426,AL,AK,GAL,Galena,Edward G Pitka Sr,CS,-,"4,166","11,870",-64.90%,
427,SO,FL,FXE,Fort Lauderdale,Fort Lauderdale Exec,CS,-,"4,096","7,386",-44.54%,
428,AL,AK,HNS,Haines,Haines,CS,-,"4,093","10,013",-59.12%,
429,WP,CA,CEC,Crescent City,Jack McNamara Field,CS,-,"4,022","9,144",-56.01%,
430,EA,WV,LWB,Lewisburg,Greenbrier Valley,CS,-,"3,995","12,858",-68.93%,
431,GL,ND,DVL,Devils Lake,Devils Lake Regional,CS,-,"3,983","6,916",-42.41%,
433,NM,CO,TEX,Telluride,Telluride Regional,CS,-,"3,743","5,519",-32.18%,
434,WP,AZ,SOW,Show Low,Show Low Regional,CS,-,"3,716","4,574",-18.76%,
436,NE,NH,LEB,Lebanon,Lebanon Municipal,CS,-,"3,707","10,364",-64.23%,
437,CE,IA,FOD,Fort Dodge,Fort Dodge Regional,CS,-,"3,702","8,328",-55.55%,
438,NM,OR,PDT,Pendleton,Eastern Oregon Regional at Pendleton,CS,-,"3,546","6,818",-47.99%,
439,SO,AL,MSL,Muscle Shoals,Northwest Alabama Regional,CS,-,"3,508","6,124",-42.72%,
440,CE,IA,MCW,Mason City,Mason City Municipal,CS,-,"3,503","8,056",-56.52%,
441,SW,AR,HRO,Harrison,Boone County,CS,-,"3,493","4,923",-29.05%,
442,NM,WY,CYS,Cheyenne,Cheyenne Regional/Jerry Olson Field,CS,-,"3,439","16,696",-79.40%,
443,GL,IL,DEC,Decatur,Decatur,CS,-,"3,429","8,561",-59.95%,
444,EA,WV,MGW,Morgantown,Morgantown Municipal-Walter L Bill Hart Field,CS,-,"3,369","7,304",-53.87%,
446,EA,PA,JST,Johnstown,John Murtha Johnstown-Cambria County,CS,-,"3,149","6,309",-50.09%,
447,CE,KS,LBL,Liberal,Liberal Mid-America Regional,CS,-,"3,117","10,743",-70.99%,
448,AL,AK,ENM,Emmonak,Emmonak,CS,-,"3,059","8,732",-64.97%,
449,AL,AK,SOV,Seldovia,Seldovia,CS,-,"3,051","4,210",-27.53%,
450,SW,AR,HOT,Hot Springs,Memorial Field,CS,-,"3,023","4,877",-38.02%,
451,SW,NM,SVC,Silver City,Grant County,CS,-,"3,010","5,968",-49.56%,
452,SW,NM,CNM,Carlsbad,Cavern City Air Terminal,CS,-,"2,961","5,224",-43.32%,
453,AL,AK,GST,Gustavus,Gustavus,CS,-,"2,959","11,130",-73.41%,
454,EA,WV,PKB,Parkersburg,Mid-Ohio Valley Regional,CS,-,"2,944","5,247",-43.89%,
455,CE,MO,IRK,Kirksville,Kirksville Regional,CS,-,"2,905","5,244",-44.60%,
456,AL,AK,ILI,Iliamna,Iliamna,CS,-,"2,900","6,446",-55.01%,
458,WP,CA,SQL,San Carlos,San Carlos,CS,-,"2,854","5,069",-43.70%,
459,SO,TN,MKL,Jackson,McKellar-Sipes Regional,CS,-,"2,840","5,791",-50.96%,
460,NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,CS,-,"2,838","10,088",-71.87%,
461,SW,TX,VCT,Victoria,Victoria Regional,CS,-,"2,837","5,734",-50.52%,
462,NE,MA,PVC,Provincetown,Provincetown Municipal,CS,-,"2,821","10,591",-73.36%,
463,GL,MN,TVF,Thief River Falls,Thief River Falls Regional,CS,-,"2,812","5,100",-44.86%,
465,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,-,"2,791","7,237",-61.43%,
466,SO,MS,GLH,Greenville,Greenville Mid-Delta,CS,-,"2,785","3,687",-24.46%,
467,NM,MT,OLF,Wolf Point,L M Clayton,CS,-,"2,755","3,821",-27.90%,
468,WP,CA,IPL,Imperial,Imperial County,CS,-,"2,716","3,412",-20.40%,
469,WP,CA,HHR,Hawthorne,Jack Northrop Field/Hawthorne Municipal,CS,-,"2,713","3,407",-20.37%,
470,NM,MT,GGW,Glasgow,Wokal Field/Glasgow-Valley County,CS,-,"2,705","4,447",-39.17%,
471,CE,KS,DDC,Dodge City,Dodge City Regional,CS,-,"2,698","4,948",-45.47%,
472,CE,IA,BRL,Burlington,Southeast Iowa Regional,CS,-,"2,681","8,035",-66.63%,
473,AL,AK,ANI,Aniak,Aniak,CS,-,"2,672","13,854",-80.71%,
475,SW,NM,CVN,Clovis,Clovis Regional,CS,-,"2,643","5,335",-50.46%,
476,SW,AR,JBR,Jonesboro,Jonesboro Municipal,CS,-,"2,605","5,392",-51.69%,
477,NM,WA,W33,Friday Harbor,Friday Harbor,CS,-,"2,563","1,737",47.55%,
478,GL,MI,IWD,Ironwood,Gogebic-Iron County,CS,-,"2,541","5,121",-50.38%,
