Rank,FAA Region,ST,Locid,City,Airport Name,Service Level,Hub,CY 14 Enplanements,CY 13 Enplanements,percent_change
48,GL,IN,IND,Indianapolis,Indianapolis International,P,M,"3,605,908","3,535,015",2.01%
49,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,"3,228,607","3,214,811",0.43%
50,GL,OH,CMH,Columbus,Port Columbus International,P,M,"3,115,501","3,063,822",1.69%
51,WP,HI,OGG,Kahului,Kahului,P,M,"3,019,338","2,955,304",2.17%
52,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,"2,926,242","2,844,507",2.87%
53,NE,CT,BDL,Windsor Locks,Bradley International,P,M,"2,913,380","2,681,181",8.66%
54,SO,KY,CVG,Greater Cincinnati  ,Cincinnati/Northern Kentucky International,P,M,"2,875,844","2,776,377",3.58%
55,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,"2,589,198","2,549,070",1.57%
56,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,"2,381,826","2,325,030",2.44%
57,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,"2,378,469","2,567,594",-7.37%
58,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,"2,354,184","2,477,783",-4.99%
59,WP,CA,ONT,Ontario,Ontario International,P,M,"2,037,346","1,970,538",3.39%
60,CE,NE,OMA,Omaha,Eppley Airfield,P,M,"2,020,354","1,975,339",2.28%
61,WP,CA,BUR,Burbank,Bob Hope,P,M,"1,928,491","1,918,011",0.55%
62,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,"1,861,272","1,788,400",4.07%
63,SO,TN,MEM,Memphis,Memphis International,P,S,"1,800,268","2,301,003",-21.76%
64,NE,RI,PVD,Warwick,Theodore Francis Green State,P,S,"1,764,828","1,884,830",-6.37%
65,EA,VA,RIC,Highland Springs,Richmond International,P,S,"1,671,096","1,597,913",4.58%
66,SO,KY,SDF,Louisville,Louisville International-Standiford Field,P,S,"1,634,983","1,668,667",-2.02%
67,WP,NV,RNO,Reno,Reno/Tahoe International,P,S,"1,611,572","1,671,926",-3.61%
68,WP,AZ,TUS,Tucson,Tucson International,P,S,"1,597,247","1,569,932",1.74%
69,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,"1,539,326","1,441,415",6.79%
70,EA,VA,ORF,Norfolk,Norfolk International,P,S,"1,488,114","1,560,754",-4.65%
71,NM,WA,GEG,Spokane,Spokane International,P,S,"1,445,572","1,417,731",1.96%
72,WP,GU,GUM,Tamuning,Guam International,P,S,"1,436,726","1,562,165",-8.03%
73,WP,HI,KOA,Kailua Kona,Kona International at Keahole,P,S,"1,403,559","1,376,641",1.96%
74,SW,TX,ELP,El Paso,El Paso International,P,S,"1,395,363","1,363,102",2.37%
75,NM,ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,"1,378,352","1,313,741",4.92%
76,SW,OK,TUL,Tulsa,Tulsa International,P,S,"1,371,613","1,323,377",3.64%
77,WP,CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,"1,368,923","1,438,756",-4.85%
78,WP,HI,LIH,Lihue,Lihue,P,S,"1,340,014","1,315,141",1.89%
79,SO,AL,BHM,Birmingham,Birmingham-Shuttlesworth International,P,S,"1,299,214","1,334,177",-2.62%
80,EA,NY,ALB,Albany,Albany International,P,S,"1,210,825","1,196,532",1.19%
81,GL,MI,GRR,Grand Rapids,Gerald R Ford International,P,S,"1,174,821","1,123,257",4.59%
82,EA,NY,ROC,Rochester,Greater Rochester International,P,S,"1,173,933","1,209,245",-2.92%
83,CE,IA,DSM,Des Moines,Des Moines International,P,S,"1,141,172","1,078,496",5.81%
84,GL,OH,DAY,Dayton,James M Cox Dayton International,P,S,"1,120,842","1,244,841",-9.96%
85,SO,FL,SFB,Sanford,Orlando Sanford International,P,S,"1,064,133","971,522",9.53%
86,NE,NH,MHT,Manchester,Manchester,P,S,"1,032,964","1,190,082",-13.20%
87,SW,AR,LIT,Little Rock,Bill and Hillary Clinton National/Adams Field,P,S,"1,005,251","1,055,293",-4.74%
88,EA,NY,SYR,Syracuse,Syracuse Hancock International,P,S,"987,169","991,551",-0.44%
89,WP,CA,PSP,Palm Springs,Palm Springs International,P,S,"953,607","875,699",8.90%
90,SO,SC,GSP,Greer,Greenville Spartanburg International,P,S,"945,477","917,088",3.10%
91,SO,GA,SAV,Savannah,Savannah/Hilton Head International,P,S,"932,416","798,376",16.79%
92,SO,SC,MYR,Myrtle Beach,Myrtle Beach International,P,S,"858,288","823,294",4.25%
93,SO,NC,GSO,Greensboro,Piedmont Triad International,P,S,"851,157","853,532",-0.28%
94,SO,TN,TYS,Alcoa,McGhee Tyson,P,S,"845,913","832,588",1.60%
95,NE,ME,PWM,Portland,Portland International Jetport,P,S,"837,820","836,942",0.10%
96,GL,WI,MSN,Madison,Dane County Regional-Truax Field,P,S,"833,634","825,702",0.96%
97,GL,OH,CAK,Akron,Akron-Canton Regional,P,S,"771,155","851,809",-9.47%
98,SO,FL,PNS,Pensacola,Pensacola International,P,S,"758,612","744,259",1.93%
99,CE,KS,ICT,Wichita,Wichita Dwight D Eisenhower National,P,S,"757,695","736,090",2.94%
100,EA,NY,HPN,White Plains,Westchester County,P,S,"756,189","764,002",-1.02%
101,WP,CA,FAT,Fresno,Fresno Yosemite International,P,S,"710,353","684,849",3.72%
102,SO,VI,STT,Charlotte Amalie,Cyril E King,P,S,"687,172","645,401",6.47%
103,WP,AZ,IWA,Mesa,Phoenix-Mesa Gateway,P,S,"669,807","725,048",-7.62%
104,SO,FL,PIE,Clearwater,St Pete-Clearwater International,P,S,"663,810","514,358",29.06%
105,EA,NY,ISP,Islip,Long Island MacArthur,P,S,"646,171","662,612",-2.48%
106,EA,PA,MDT,Harrisburg,Harrisburg International,P,S,"644,048","657,650",-2.07%
107,WP,HI,ITO,Hilo,Hilo International,P,S,"626,950","640,411",-2.10%
108,NM,CO,COS,Colorado Springs,City of Colorado Springs Municipal,P,S,"624,317","657,962",-5.11%
109,SW,AR,XNA,Bentonville,Northwest Arkansas Regional,P,S,"619,157","558,141",10.93%
110,NE,VT,BTV,Burlington,Burlington International,P,S,"602,932","606,503",-0.59%
111,SO,FL,SRQ,Sarasota,Sarasota/Bradenton International,P,S,"598,219","594,970",0.55%
112,SO,KY,LEX,Lexington,Blue Grass,P,S,"595,083","539,238",10.36%
113,EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,"594,346","553,695",7.34%
114,CE,IA,CID,Cedar Rapids,The Eastern Iowa,P,S,"570,571","520,360",9.65%
115,SW,TX,MAF,Midland,Midland International,P,S,"547,355","506,726",8.02%
116,NM,WA,BLI,Bellingham,Bellingham International,P,S,"543,346","596,142",-8.86%
117,SO,MS,JAN,Jackson,Jackson-Medgar Wiley Evers International,P,S,"537,821","595,951",-9.75%
118,SO,AL,HSV,Huntsville,Huntsville International-Carl T Jones Field,P,S,"523,248","505,541",3.50%
119,SO,SC,CAE,Columbia,Columbia Metropolitan,P,S,"498,151","487,180",2.25%
120,WP,MP,GSN,Saipan,Francisco C Ada/Saipan International,P,S,"495,150","448,177",10.48%
121,GL,SD,FSD,Sioux Falls,Joe Foss Field,P,S,"490,448","481,716",1.81%
122,NM,MT,BZN,Bozeman,Bozeman Yellowstone International,P,S,"482,683","442,075",9.19%
123,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,"459,769","457,372",0.52%
124,GL,ND,FAR,Fargo,Hector International,P,S,"456,372","403,919",12.99%
125,SW,TX,LBB,Lubbock,Lubbock Preston Smith International,P,S,"451,238","454,408",-0.70%
126,NM,OR,EUG,Eugene,Mahlon Sweet Field,P,S,"440,198","434,095",1.41%
127,GL,MI,FNT,Flint,Bishop International,P,S,"421,129","398,132",5.78%
128,NM,MT,BIL,Billings,Billings Logan International,P,S,"420,113","387,773",8.34%
129,CE,MO,SGF,Springfield,Springfield-Branson National,P,S,"420,017","368,752",13.90%
130,SO,FL,ECP,Panama City,Northwest Florida Beaches International,P,S,"394,570","391,763",0.72%
131,SW,TX,MFE,McAllen,McAllen Miller International,P,S,"385,631","335,483",14.95%
132,SO,FL,EYW,Key West,Key West International,P,S,"383,776","402,842",-4.73%
133,SO,NC,AVL,Asheville,Asheville Regional,P,S,"382,586","342,400",11.74%
134,SW,LA,BTR,Baton Rouge,"Baton Rouge Metropolitan, Ryan Field",P,N,"380,153","400,712",-5.13%
135,SO,NC,ILM,Wilmington,Wilmington International,P,N,"378,203","397,274",-4.80%
136,EA,NJ,TTN,Trenton,Trenton Mercer,P,N,"377,961","147,826",155.68%
137,AL,AK,JNU,Juneau,Juneau International,P,N,"375,828","359,291",4.60%
138,GL,IL,MLI,Moline,Quad City International,P,N,"372,526","384,198",-3.04%
139,SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,N,"362,412","370,508",-2.19%
140,SO,FL,VPS,Valparaiso,Eglin AFB,P,N,"360,542","353,953",1.86%
141,SO,TN,CHA,Chattanooga,Lovell Field,P,N,"356,077","312,873",13.81%
142,SW,TX,CRP,Corpus Christi,Corpus Christi International,P,N,"347,977","317,667",9.54%
143,WP,AZ,GCN,Grand Canyon,Grand Canyon National Park,P,N,"340,808","327,814",3.96%
144,SO,FL,TLH,Tallahassee,Tallahassee International,P,N,"339,078","336,129",0.88%
145,SO,FL,PGD,Punta Gorda,Punta Gorda,P,N,"336,905","171,121",96.88%
146,WP,CA,SBA,Santa Barbara,Santa Barbara Municipal,P,N,"335,049","364,360",-8.04%
147,NM,MT,MSO,Missoula,Missoula International,P,N,"334,948","298,253",12.30%
148,NM,WA,PSC,Pasco,Tri-Cities,P,N,"329,087","327,419",0.51%
149,SO,MS,GPT,Gulfport,Gulfport-Biloxi International,P,N,"325,437","369,597",-11.95%
150,NM,OR,MFR,Medford,Rogue Valley International - Medford,P,N,"323,563","306,450",5.58%
151,GL,IN,FWA,Fort Wayne,Fort Wayne International,P,N,"323,252","294,968",9.59%
152,GL,IL,PIA,Peoria,General Downing - Peoria International,P,N,"320,054","291,147",9.93%
153,NE,ME,BGR,Bangor,Bangor International,P,N,"317,200","315,139",0.65%
154,GL,IN,SBN,South Bend,South Bend International,P,N,"311,158","328,992",-5.42%
155,NM,WY,JAC,Jackson,Jackson Hole,P,N,"308,509","294,752",4.67%
156,SW,LA,SHV,Shreveport,Shreveport Regional,P,N,"307,540","279,897",9.88%
157,SO,FL,DAB,Daytona Beach,Daytona Beach International,P,N,"306,542","293,843",4.32%
158,EA,VA,ROA,Roanoke,Roanoke Regional/Woodrum Field,P,N,"305,496","310,295",-1.55%
159,GL,WI,GRB,Green Bay,Austin Straubel International,P,N,"302,568","293,703",3.02%
160,EA,PA,ABE,Allentown,Lehigh Valley International,P,N,"298,306","301,969",-1.21%
161,SW,TX,HRL,Harlingen,Valley International,P,N,"293,306","347,829",-15.68%
162,SO,AL,MOB,Mobile,Mobile Regional,P,N,"288,376","287,661",0.25%
163,GL,SD,RAP,Rapid City,Rapid City Regional,P,N,"266,623","256,052",4.13%
164,SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,"263,478","260,523",1.13%
165,EA,VA,PHF,Newport News,Newport News/Williamsburg International,P,N,"259,082","263,964",-1.85%
166,NM,OR,RDM,Redmond,Roberts Field,P,N,"255,654","236,303",8.19%
167,EA,VA,CHO,Charlottesville-Albemarle  ,Charlottesville-Albemarle,P,N,"250,666","230,699",8.66%
168,GL,WI,ATW,Appleton,Appleton International,P,N,"249,656","246,211",1.40%
169,GL,ND,BIS,Bismarck,Bismarck Municipal,P,N,"248,316","238,929",3.93%
170,SW,LA,LFT,Lafayette,Lafayette Regional/Paul Fournet Field,P,N,"247,857","233,498",6.15%
171,EA,WV,CRW,Charleston,Yeager,P,N,"241,566","250,509",-3.57%
172,SO,NC,FAY,Fayetteville,Fayetteville Regional/Grannis Field,P,N,"230,436","244,345",-5.69%
173,NM,MT,GPI,Kalispell,Glacier Park International,P,N,"224,820","199,707",12.57%
174,GL,ND,MOT,Minot,Minot International,P,N,"219,957","220,797",-0.38%
175,NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,"217,648","206,686",5.30%
176,SO,TN,TRI,Bristol/Johnson/Kingsport,Tri-Cities Regional TN/VA,P,N,"215,259","204,402",5.31%
177,EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,"214,805","216,536",-0.80%
178,SO,FL,MLB,Melbourne,Melbourne International,P,N,"214,704","211,702",1.42%
179,NM,CO,GJT,Grand Junction,Grand Junction Regional,P,N,"214,313","211,091",1.53%
180,SO,PR,BQN,Aguadilla,Rafael Hernandez,P,N,"212,239","201,453",5.35%
181,WP,NV,BVU,Boulder City,Boulder City Municipal,P,N,"211,648","204,212",3.64%
182,SO,FL,GNV,Gainesville,Gainesville Regional,P,N,"206,820","198,388",4.25%
183,GL,IL,BMI,Bloomington-Normal  ,Central IL Regional Airport at Bloomington-Normal,P,N,"204,523","211,957",-3.51%
184,GL,MI,LAN,Clinton (Township of),Capital Region International,P,N,"202,118","216,925",-6.83%
185,GL,MI,TVC,Traverse City,Cherry Capital,P,N,"196,451","189,644",3.59%
186,NM,CO,DRO,Durango,Durango-La Plata County,P,N,"193,764","192,797",0.50%
187,NM,MT,GTF,Great Falls,Great Falls International,P,N,"190,361","182,390",4.37%
188,SW,TX,GRK,Killeen,Robert Gray AAF,P,N,"189,529","195,899",-3.25%
189,WP,CA,MRY,Monterey,Monterey Regional,P,N,"186,935","205,069",-8.84%
190,SO,VI,STX,Christiansted,Henry E Rohlsen,P,N,"185,899","182,752",1.72%
191,SW,TX,BRO,Brownsville,Brownsville/South Padre Island International,P,N,"183,604","100,793",82.16%
192,SW,LA,AEX,Alexandria,Alexandria International,P,N,"175,526","183,899",-4.55%
193,GL,IN,EVV,Evansville,Evansville Regional,P,N,"171,212","161,279",6.16%
194,NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,"170,361","183,557",-7.19%
195,SO,AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,"169,764","157,958",7.47%
196,NM,ID,IDA,Idaho Falls,Idaho Falls Regional,P,N,"166,864","147,073",13.46%
197,NM,CO,EGE,Eagle,Eagle County Regional,P,N,"165,004","167,166",-1.29%
198,EA,NY,ELM,Elmira,Elmira/Corning Regional,P,N,"159,136","129,749",22.65%
199,EA,NY,SWF,Newburgh,Stewart International,P,N,"158,556","163,815",-3.21%
200,SO,NC,OAJ,Jacksonville,Albert J Ellis,P,N,"157,012","168,828",-7.00%
201,AL,AK,BET,Bethel,Bethel,P,N,"155,936","152,084",2.53%
202,GL,MN,DLH,Duluth,Duluth International,P,N,"153,583","155,496",-1.23%
203,WP,CA,SBP,San Luis Obispo,San Luis County Regional,P,N,"151,394","135,844",11.45%
204,GL,ND,GFK,Grand Forks,Grand Forks International,P,N,"146,003","148,665",-1.79%
205,EA,PA,UNV,State College,University Park,P,N,"142,551","131,753",8.20%
206,CE,NE,LNK,Lincoln,Lincoln,P,N,"142,205","138,787",2.46%
207,WP,CA,BFL,Bakersfield,Meadows Field,P,N,"140,007","143,175",-2.21%
208,EA,NY,PBG,Plattsburgh,Plattsburgh International,P,N,"139,676","151,235",-7.64%
209,GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,"134,832","129,211",4.35%
210,WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,"128,515","140,886",-8.78%
211,EA,PA,LBE,Latrobe,Arnold Palmer Regional,P,N,"128,415","127,040",1.08%
212,GL,WI,CWA,Mosinee,Central Wisconsin,P,N,"125,395","123,797",1.29%
213,GL,MI,MBS,Saginaw,MBS International,P,N,"122,918","120,689",1.85%
214,SW,LA,MLU,Monroe,Monroe Regional,P,N,"120,589","115,757",4.17%
215,GL,MN,RST,Rochester,Rochester International,P,N,"119,874","109,870",9.11%
216,SO,NC,EWN,New Bern,Coastal Carolina Regional,P,N,"118,749","121,479",-2.25%
217,WP,CA,STS,Santa Rosa,Charles M Schulz - Sonoma County,P,N,"117,046","112,779",3.78%
218,SW,TX,LRD,Laredo,Laredo International,P,N,"116,565","109,773",6.19%
219,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,"115,948","109,433",5.95%
220,GL,ND,ISN,Williston,Sloulin Field International,P,N,"114,281","96,090",18.93%
221,GL,IL,RFD,Rockford,Chicago/Rockford International,P,N,"111,983","109,384",2.38%
222,EA,NY,IAG,Niagara Falls,Niagara Falls International,P,N,"111,212","98,958",12.38%
223,EA,DE,ILG,Wilmington,New Castle,P,N,"104,488","52,159",100.33%
224,NM,WY,CPR,Casper,Casper/Natrona County International,P,N,"103,397","98,625",4.84%
225,AL,AK,ENA,Kenai,Kenai Municipal,P,N,"100,448","99,821",0.63%
226,WP,AZ,IFP,Bullhead City,Laughlin/Bullhead International,P,N,"99,443","109,647",-9.31%
227,GL,OH,TOL,Toledo,Toledo Express,P,N,"98,941","86,221",14.75%
228,GL,WI,LSE,La Crosse,La Crosse Regional,P,N,"98,869","90,297",9.49%
229,SO,PR,PSE,Ponce,Mercedita,P,N,"97,271","93,566",3.96%
230,EA,PA,ERI,Erie,Erie International/Tom Ridge Field,P,N,"97,063","109,520",-11.37%
231,NM,MT,HLN,Helena,Helena Regional,P,N,"96,869","97,310",-0.45%
232,EA,WV,HTS,Huntington,Tri-State/Milton J Ferguson Field,P,N,"96,367","98,752",-2.42%
233,GL,IL,CMI,Savoy,University of Illinois-Willard,P,N,"95,351","84,853",12.37%
234,SW,TX,ABI,Abilene,Abilene Regional,P,N,"93,656","82,758",13.17%
235,NM,CO,HDN,Hayden,Yampa Valley,P,N,"92,245","91,823",0.46%
236,SW,TX,CLL,College Station,Easterwood Field,P,N,"91,127","87,409",4.25%
237,WP,AZ,NYL,Yuma,Yuma MCAS/Yuma International,P,N,"90,732","78,395",15.74%
238,NM,CO,MTJ,Montrose,Montrose Regional,P,N,"90,630","84,579",7.15%
239,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,"90,214","82,742",9.03%
240,EA,NY,ITH,Ithaca,Ithaca Tompkins Regional,P,N,"89,501","103,501",-13.53%
241,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,"86,625","85,789",0.97%
242,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,"86,198","70,651",22.01%
243,NE,MA,HYA,Hyannis,Barnstable Municipal-Boardman/Polando Field,P,N,"85,184","87,648",-2.81%
244,EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,"82,625","95,210",-13.22%
245,WP,CA,SCK,Stockton,Stockton Metropolitan,P,N,"82,298","71,757",14.69%
246,AL,AK,ADQ,Kodiak,Kodiak,P,N,"79,966","79,930",0.05%
247,WP,HI,MKK,Kaunakakai,Molokai,P,N,"79,597","63,879",24.61%
248,EA,VA,LYH,Timberlake,Lynchburg Regional/Preston Glenn Field,P,N,"78,876","77,795",1.39%
249,SW,NM,SAF,Santa Fe,Santa Fe Municipal,P,N,"74,749","65,118",14.79%
250,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,"72,027","67,989",5.94%
251,SO,PR,VQS,Vieques,Antonio Rivera Rodriguez,P,N,"71,757","47,737",50.32%
252,SW,LA,LCH,Lake Charles,Lake Charles Regional,P,N,"69,334","65,281",6.21%
253,WP,AZ,FLG,Flagstaff,Flagstaff Pulliam,P,N,"68,123","58,323",16.80%
254,SW,TX,ACT,Waco,Waco Regional,P,N,"66,631","62,634",6.38%
255,GL,OH,YNG,Youngstown,Youngstown-Warren Regional,P,N,"65,983","47,518",38.86%
256,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,"65,973","62,296",5.90%
257,NM,ID,SUN,Hailey,Friedman Memorial,P,N,"65,801","51,496",27.78%
258,CE,KS,MHK,Manhattan,Manhattan Regional,P,N,"65,649","65,683",-0.05%
260,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,"63,128","61,274",3.03%
261,EA,MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,P,N,"62,712","62,670",0.07%
262,NM,ID,LWS,Lewiston,Lewiston-Nez Perce County,P,N,"62,479","62,209",0.43%
263,NM,UT,PVU,Provo,Provo Municipal,P,N,"62,011","30,090",106.09%
264,CE,NE,GRI,Grand Island,Central Nebraska Regional,P,N,"61,400","57,165",7.41%
265,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,"60,547","60,020",0.88%
266,NM,UT,SGU,St. George,St George Municipal,P,N,"59,321","54,574",8.70%
267,SO,SC,FLO,Florence,Florence Regional,P,N,"59,314","59,894",-0.97%
268,GL,ND,DIK,Dickinson,Dickinson - Theodore Roosevelt Regional,P,N,"58,987","34,980",68.63%
269,AL,AK,OME,Nome,Nome,P,N,"58,610","58,020",1.02%
270,NE,MA,ORH,Worcester,Worcester Regional,P,N,"57,818","8,007",622.09%
272,NM,WA,YKM,Yakima,Yakima Air Terminal/McAllister Field,P,N,"57,076","54,308",5.10%
273,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,"56,995","51,568",10.52%
274,NM,WA,EAT,East Wenatchee,Pangborn Memorial,P,N,"56,589","52,051",8.72%
275,AL,AK,SCC,Deadhorse,Deadhorse,P,N,"56,001","48,588",15.26%
