Rank,FAA Region,ST,Locid,City,Airport Name,Service Level,Hub,CY 14 Enplanements,CY 13 Enplanements,percent_change
353,SO,FL,SGJ,Saint Augustine,Northeast Florida Regional,P,N,"19,701",376,5139.63%
354,EA,NY,ART,Watertown,Watertown International,P,N,"19,307","18,818",2.60%
355,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,"19,065","20,046",-4.89%
356,NM,UT,OGD,Ogden,Ogden-Hinckley,P,N,"18,843","15,523",21.39%
357,SW,NM,HOB,Hobbs,Lea County Regional,P,N,"18,239","17,246",5.76%
358,WP,NV,EKO,Elko,Elko Regional,P,N,"18,200","19,510",-6.71%
359,GL,MI,ESC,Escanaba,Delta County,P,N,"17,946","15,110",18.77%
360,GL,MN,BRD,Brainerd,Brainerd Lakes Regional,P,N,"17,160","15,654",9.62%
361,WP,CA,CIC,Chico,Chico Municipal,P,N,"17,141","16,835",1.82%
363,GL,IL,BLV,Belleville,Scott AFB/Midamerica,P,N,"16,328","13,542",20.57%
364,GL,MN,INL,International Falls,Falls International-Einarson Field,P,N,"16,328","15,796",3.37%
365,GL,MI,MKG,Muskegon,Muskegon County,P,N,"15,847","18,020",-12.06%
366,EA,MD,HGR,Hagerstown,Hagerstown Regional-Richard A Henson Field,P,N,"15,189","12,941",17.37%
367,NM,OR,OTH,North Bend,Southwest Oregon Regional,P,N,"15,080","16,864",-10.58%
368,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,"14,658","13,318",10.06%
369,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,"14,479","15,772",-8.20%
370,NM,UT,CDC,Cedar City,Cedar City Regional,P,N,"14,362","13,214",8.69%
371,NE,ME,RKD,Rockland,Knox County Regional,P,N,"14,300","15,724",-9.06%
372,WP,CA,CEC,Crescent City,Jack McNamara Field,P,N,"13,701","12,136",12.90%
373,AL,AK,LHD,Anchorage,Lake Hood,P,N,"13,545","24,026",-43.62%
374,GL,OH,LUK,Cincinnati,Cincinnati Municipal Airport Lunken Field,P,N,"13,459","13,914",-3.27%
375,NM,WY,LAR,Laramie,Laramie Regional,P,N,"13,362","13,733",-2.70%
376,AL,AK,UNK,Unalakleet,Unalakleet,P,N,"13,099","14,011",-6.51%
